match_id,player_id,team_id,opponent_team_id,position_bucket,official_start_ts,is_home,minutes,stat_pts
0022300100,1631099,1610612758,1610612747,NBA,2023-10-29,1.0,33.21666666666667,17.0
0022300100,203084,1610612758,1610612747,NBA,2023-10-29,1.0,38.6,8.0
0022300101,1626220,1610612751,1610612766,NBA,2023-10-30,0.0,31.833333333333332,8.0
0022300101,1628969,1610612751,1610612766,NBA,2023-10-30,0.0,37.74166666666667,24.0
0022300102,1626167,1610612754,1610612741,NBA,2023-10-30,1.0,31.75,20.0
0022300102,1627741,1610612754,1610612741,NBA,2023-10-30,1.0,18.965,11.0
0022300102,1629632,1610612741,1610612754,NBA,2023-10-30,0.0,25.483333333333334,7.0
0022300102,1630167,1610612754,1610612741,NBA,2023-10-30,1.0,23.85,6.0
0022300102,201942,1610612741,1610612754,NBA,2023-10-30,0.0,34.7,20.0
0022300102,203083,1610612741,1610612754,NBA,2023-10-30,0.0,13.716666666666667,5.0
0022300103,1629673,1610612764,1610612738,NBA,2023-10-30,1.0,25.266666666666666,11.0
0022300103,1630202,1610612738,1610612764,NBA,2023-10-30,0.0,25.05,0.0
0022300103,1630557,1610612764,1610612738,NBA,2023-10-30,1.0,23.583333333333332,9.0
0022300103,1630573,1610612738,1610612764,NBA,2023-10-30,0.0,25.133333333333333,8.0
0022300104,1627749,1610612737,1610612750,NBA,2023-10-30,1.0,39.36666666666667,41.0
0022300104,1629638,1610612750,1610612737,NBA,2023-10-30,0.0,13.35,3.0
0022300104,1629675,1610612750,1610612737,NBA,2023-10-30,0.0,23.966666666666665,13.0
0022300104,1630162,1610612750,1610612737,NBA,2023-10-30,0.0,37.781666666666666,31.0
0022300104,203937,1610612750,1610612737,NBA,2023-10-30,0.0,24.783333333333335,4.0
0022300104,203992,1610612737,1610612750,NBA,2023-10-30,1.0,20.45,8.0
0022300105,1627783,1610612761,1610612757,NBA,2023-10-30,1.0,35.1,20.0
0022300105,203471,1610612761,1610612757,NBA,2023-10-30,1.0,32.0,10.0
0022300106,203501,1610612742,1610612763,NBA,2023-10-30,0.0,29.233333333333334,21.0
0022300107,1626166,1610612749,1610612748,NBA,2023-10-30,1.0,12.966666666666667,11.0
0022300107,1626171,1610612749,1610612748,NBA,2023-10-30,1.0,18.616666666666667,16.0
0022300107,1627736,1610612749,1610612748,NBA,2023-10-30,1.0,31.9,5.0
0022300107,201572,1610612749,1610612748,NBA,2023-10-30,1.0,29.383333333333333,11.0
0022300108,202685,1610612740,1610612744,NBA,2023-10-30,1.0,22.8,11.0
0022300109,1629652,1610612760,1610612765,NBA,2023-10-30,1.0,25.988333333333333,7.0
0022300109,1630198,1610612760,1610612765,NBA,2023-10-30,1.0,19.6,9.0
0022300109,1630581,1610612760,1610612765,NBA,2023-10-30,1.0,28.4,21.0
